"Year","State","TOTAL.POPULATION","Type","FREE.COLORED.MALES","FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.PERSONS","TOTAL.FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.MALES","TOTAL.FREE.COLORED.POPULATION","WHITE.AND.FREE.COLORED.FAMILIES","AGGR..FREE.COLORED.PERSONS","COLORED.PERSONS","COLORED.MALES","COLORED.FEMALES","TOTAL.COLORED.FEMALES","TOTAL.COLORED.MALES"
1830,"MISSOURI",140455,"State",NA,NA,569,285,284,NA,NA,NA,NA,NA,NA,NA,NA
1830,"NEW HAMPSHIRE",269328,"State",NA,NA,604,329,275,NA,NA,NA,NA,NA,NA,NA,NA
1830,"NEW JERSEY",320823,"State",NA,NA,18303,8802,9501,NA,NA,NA,NA,NA,NA,NA,NA
1830,"NEW YORK",1918608,"State",NA,NA,44870,23404,21466,NA,NA,NA,NA,NA,NA,NA,NA
1830,"NORTH CAROLINA",737987,"State",NA,NA,19543,9982,9561,NA,NA,NA,NA,NA,NA,NA,NA
1830,"OHIO",937903,"State",NA,NA,9568,4779,4789,NA,NA,NA,NA,NA,NA,NA,NA
1830,"PENNSYLVANIA",1348233,"State",NA,NA,37930,19553,18377,NA,NA,NA,NA,NA,NA,NA,NA
1830,"RHODE ISLAND",97199,"State",NA,NA,3561,2013,1548,NA,NA,NA,NA,NA,NA,NA,NA
1830,"SOUTH CAROLINA",581185,"State",NA,NA,7921,4249,3672,NA,NA,NA,NA,NA,NA,NA,NA
1830,"TENNESSEE",681904,"State",NA,NA,4555,2225,2330,NA,NA,NA,NA,NA,NA,NA,NA
1830,"VERMONT",280652,"State",NA,NA,881,455,426,NA,NA,NA,NA,NA,NA,NA,NA
1830,"VIRGINIA",1211405,"State",NA,NA,47348,24961,22387,NA,NA,NA,NA,NA,NA,NA,NA
1840,"ALABAMA",590756,"State",NA,NA,2039,1009,1030,NA,NA,NA,NA,NA,NA,NA,NA
1840,"ARKANSAS",97574,"State",NA,NA,465,217,248,NA,NA,NA,NA,NA,NA,NA,NA
1840,"CONNECTICUT",310015,"State",NA,NA,8105,4214,3891,NA,NA,NA,NA,NA,NA,NA,NA
1840,"DELAWARE",78085,"State",NA,NA,16919,8293,8626,NA,NA,NA,NA,NA,NA,NA,NA
1840,"FLORIDA",54477,"Territory",NA,NA,817,419,398,NA,NA,NA,NA,NA,NA,NA,NA
1840,"GEORGIA",691392,"State",NA,NA,2753,1379,1374,NA,NA,NA,NA,NA,NA,NA,NA
1840,"ILLINOIS",476183,"State",NA,NA,3598,1722,1876,NA,NA,NA,NA,NA,NA,NA,NA
1840,"INDIANA",685866,"State",NA,NA,7165,3434,3731,NA,NA,NA,NA,NA,NA,NA,NA
1840,"IOWA",43112,"Territory",NA,NA,172,79,93,NA,NA,NA,NA,NA,NA,NA,NA
1840,"KENTUCKY",779828,"State",NA,NA,7317,3556,3761,NA,NA,NA,NA,NA,NA,NA,NA
1840,"LOUISIANA",352411,"State",NA,NA,25502,13976,11526,NA,NA,NA,NA,NA,NA,NA,NA
1840,"MAINE",501793,"State",NA,NA,1355,635,720,NA,NA,NA,NA,NA,NA,NA,NA
1840,"MARYLAND",470019,"State",NA,NA,62078,32891,29187,NA,NA,NA,NA,NA,NA,NA,NA
1840,"MASSACHUSETTS",737699,"State",NA,NA,8669,4015,4654,NA,NA,NA,NA,NA,NA,NA,NA
1840,"MICHIGAN",212267,"State",NA,NA,707,314,393,NA,NA,NA,NA,NA,NA,NA,NA
1840,"MISSISSIPPI",375651,"State",NA,NA,1366,651,715,NA,NA,NA,NA,NA,NA,NA,NA
1840,"MISSOURI",383702,"State",NA,NA,1574,691,883,NA,NA,NA,NA,NA,NA,NA,NA
1840,"NEW HAMPSHIRE",284574,"State",NA,NA,537,289,248,NA,NA,NA,NA,NA,NA,NA,NA
1840,"NEW JERSEY",373306,"State",NA,NA,21044,10264,10780,NA,NA,NA,NA,NA,NA,NA,NA
1840,"NEW YORK",2428921,"State",NA,NA,50027,26218,23809,NA,NA,NA,NA,NA,NA,NA,NA
1840,"NORTH CAROLINA",753419,"State",NA,NA,22732,11505,11227,NA,NA,NA,NA,NA,NA,NA,NA
1840,"OHIO",1519467,"State",NA,NA,17342,8602,8740,NA,NA,NA,NA,NA,NA,NA,NA
1840,"PENNSYLVANIA",1724033,"State",NA,NA,47854,25102,22752,NA,NA,NA,NA,NA,NA,NA,NA
1840,"RHODE ISLAND",108830,"State",NA,NA,3238,1825,1413,NA,NA,NA,NA,NA,NA,NA,NA
1840,"SOUTH CAROLINA",594398,"State",NA,NA,8276,4412,3864,NA,NA,NA,NA,NA,NA,NA,NA
1840,"TENNESSEE",829210,"State",NA,NA,5524,2728,2796,NA,NA,NA,NA,NA,NA,NA,NA
1840,"VERMONT",291948,"State",NA,NA,730,366,364,NA,NA,NA,NA,NA,NA,NA,NA
1840,"VIRGINIA",1239797,"State",NA,NA,49852,26024,23828,NA,NA,NA,NA,NA,NA,NA,NA
1840,"WISCONSIN",30945,"Territory",NA,NA,185,84,101,NA,NA,NA,NA,NA,NA,NA,NA
1850,"ALABAMA",771623,"State",NA,NA,NA,1209,1056,2265,73786,NA,NA,NA,NA,NA,NA
1850,"ARKANSAS",209897,"State",NA,NA,NA,294,314,608,28416,NA,NA,NA,NA,NA,NA
1850,"CALIFORNIA",92597,"State",NA,NA,NA,90,872,962,24567,NA,NA,NA,NA,NA,NA
1850,"CONNECTICUT",370792,"State",NA,NA,NA,3873,3820,7693,73448,NA,NA,NA,NA,NA,NA
1850,"DELAWARE",91532,"State",NA,NA,NA,9038,9035,18073,15439,NA,NA,NA,NA,NA,NA
1850,"FLORIDA",87445,"State",NA,NA,NA,514,418,932,9107,NA,NA,NA,NA,NA,NA
1850,"GEORGIA",906185,"State",NA,NA,NA,1556,1375,2931,91666,NA,NA,NA,NA,NA,NA
1850,"ILLINOIS",851470,"State",NA,NA,NA,2659,2777,5436,149153,NA,NA,NA,NA,NA,NA
1850,"INDIANA",988416,"State",NA,NA,NA,5547,5715,11262,171564,NA,NA,NA,NA,NA,NA
1850,"IOWA",192214,"State",NA,NA,NA,168,165,333,33517,NA,NA,NA,NA,NA,NA
1850,"KENTUCKY",982405,"State",NA,NA,NA,5148,4863,10011,132920,NA,NA,NA,NA,NA,NA
1850,"LOUISIANA",517762,"State",NA,NA,NA,9983,7479,17462,54112,NA,NA,NA,NA,NA,NA
1850,"MAINE",583169,"State",NA,NA,NA,630,726,1356,103333,NA,NA,NA,NA,NA,NA
1850,"MARYLAND",583034,"State",NA,NA,NA,39531,35192,74723,87384,NA,NA,NA,NA,NA,NA
1850,"MASSACHUSETTS",994514,"State",NA,NA,NA,4640,4424,9064,192675,NA,NA,NA,NA,NA,NA
1850,"MICHIGAN",397654,"State",NA,NA,NA,1152,1431,2583,72611,NA,NA,NA,NA,NA,NA
1850,"MINNESOTA",6077,"Territory",NA,NA,NA,18,21,39,1016,NA,NA,NA,NA,NA,NA
1850,"MISSISSIPPI",606526,"State",NA,NA,NA,456,474,930,52107,NA,NA,NA,NA,NA,NA
1850,"MISSOURI",682044,"State",NA,NA,NA,1257,1361,2618,100890,NA,NA,NA,NA,NA,NA
1850,"NEW HAMPSHIRE",317976,"State",NA,NA,NA,260,260,520,62287,NA,NA,NA,NA,NA,NA
1850,"NEW JERSEY",489555,"State",NA,NA,NA,12012,11798,23810,89080,NA,NA,NA,NA,NA,NA
1850,"NEW YORK",3097394,"State",NA,NA,NA,25617,23452,49069,566869,NA,NA,NA,NA,NA,NA
1850,"NORTH CAROLINA",869039,"State",NA,NA,NA,14165,13298,27463,105451,NA,NA,NA,NA,NA,NA
1850,"OHIO",1980329,"State",NA,NA,NA,12588,12691,25279,348514,NA,NA,NA,NA,NA,NA
1850,"PENNSYLVANIA",2311786,"State",NA,NA,NA,28257,25369,53626,408497,NA,NA,NA,NA,NA,NA
1850,"RHODE ISLAND",147545,"State",NA,NA,NA,1932,1738,3670,28216,NA,NA,NA,NA,NA,NA
1850,"SOUTH CAROLINA",668507,"State",NA,NA,NA,4829,4131,8960,52937,NA,NA,NA,NA,NA,NA
1850,"TENNESSEE",1002717,"State",NA,NA,NA,3305,3117,6422,130004,NA,NA,NA,NA,NA,NA
1850,"TEXAS",212592,"State",NA,NA,NA,186,211,397,28377,NA,NA,NA,NA,NA,NA
1850,"VERMONT",314304,"State",NA,NA,NA,343,375,718,58573,NA,NA,NA,NA,NA,NA
1850,"VIRGINIA",1421661,"State",NA,NA,NA,28331,26002,54333,167530,NA,NA,NA,NA,NA,NA
1850,"WISCONSIN",305391,"State",NA,NA,NA,270,365,635,57608,NA,NA,NA,NA,NA,NA
1860,"ALABAMA",964201,"State",NA,NA,NA,1436,1254,NA,NA,2690,NA,NA,NA,NA,NA
